concept_id,concept_name,concept_description
Q5955071,,"class of, oft governmental, body who survey a region's waters"
Q3487815,,type of corporate entity for licensed professionals
Q5176204,,New Zealand companies owned by local councils
Q5916251,,type of organization
Q5466627,,type of organization
Q5419285,,"set of people who judge exams, oppositions or other similar calls"
Q6815100,,type of organization that has members
Q2279768,,ancient Japanese governing body
Q4915958,,
Q6503344,,
Q2389284,,"organizational structure where every entity in the organization, except one, is subordinate to a single other entity"
Q2458164,,"service which collects, screens, processes, and dispenses by prescription human milk donated by nursing mothers not biologically related to the recipient infant;"
Q6664371,,only in Sweden
Q7574328,,organization which compiles a list of orators and facilitates speaking events for them
Q4931514,,
Q1514395,,organisation for people with a high IQ score
Q2281788,,"facility and institution that exhibits live aquatic animals and plants in large tanks for the public to view, learn about, and appreciate"
Q2177636,,type of administrative division in Denmark
Q24746,,administrative division of the Philippines
Q3152824,,organization that works for the preservation or promotion of culture
Q22908,,housing facility intended for senior citizens
Q996839,,"organization, society, or club of people associated together for various religious or secular aims"
Q2985307,,Control of French economy under Vichy
Q24764,,administrative division in Philippine provinces
Q11315,,complex of shops
Q11033,,media technologies that are intended to reach a large audience by mass communication
Q34627,,"religious building at the center of a local organization where a Jewish (or rarely Samaritan) community gathers for prayer, education, social assistance or ceremonies"
Q1870403,,
Q2142273,,entity facilitating interactions between two other parties
Q992237,,confraternity or sodality institutions in Venice
Q3117735,,"group where various types of help, usually nonprofessional and non-material, are provided for a particular shared, usually burdensome, characteristic"
Q3091534,,Political organization
Q1032372,,"community-operated physical space where people with common interests, often in computers, technology, science, or art, can socialise, collaborate, or make"
Q2169973,,organization that provides organizations with services
Q3068961,,"usually community-run projects in urban areas, which involve people interacting and working with animals and plants"
Q1818761,,local sustainable area in France
Q2069741,,Hindu monastery
Q1812889,,period in which a legislature is convened
Q3119880,,name given to autonomous peasant patrols in rural Peru
Q3064474,,administrative units of the country
Q3070109,,music festival in Canada
Q1956113,,"organization that has a subsidiary unit, e.g. for companies, which owns enough voting stock in another firm to control management and operations"
Q2108946,,organisation
Q3056790,,18th century militia organization in the Netherlands
Q1934969,,organization or individual that provides products or services to a military or intelligence department of a government
Q1006283,,organisation dedicated to preserving the cultural heritage of a particular geographic region
Q2112461,,group or department within an organization that defines and maintains standards for project management within the organization
Q2090372,,Jewish lending method
Q4736565,,organization aligned with the Fair trade movement
Q196776,,entity that issues digital certificates
Q7654539,,group of New Christian churches
Q1729207,,activity carried out by Christians to express or spread their faith
Q4384758,,media content produced by private citizens who are otherwise not professional journalists
Q783794,,"legal entity representing an association of people, whether natural, legal or a mixture of both, with a specific objective"
Q702882,,command office in Nazi Germany
Q673899,,small group of people who meet regularly to discuss work
Q18373809,,"name given to several groups both real and fake, generally affecting superior enlightenment on religious and social matters and marked by hostility towards religion"
Q597897,,student organisation
Q672070,,place or organisation that undertakes professional-quality photography
Q646293,,social structure that governs how people work together
Q543813,,administrative entities established by Nazi Germany during the Second World War
Q620225,,Catholic missionary jurisdiction of the Catholic Church
Q686441,,Sunni Islam movement in Indonesia
Q20667323,,organisations formed as part of the integration of services provided by Health Boards and Councils in Scotland
Q20857129,,system of higher education institutions
Q671224,,building or room where computer servers and related equipment are operated
Q18204722,,computer network organization model
Q641347,,"organization that has been allocated a block of IP addresses by a regional Internet registry, and assigns most parts of this block to its own customers"
Q18207063,,pooling of resources in the context of cryptocurrency mining
Q627272,,association of employers for joint advocacy purposes towards trade unions and state
Q662043,,rural agencies that supplied collective farms with agricultural machinery and people to run it
Q17143723,,lowest canonical subdivision in the Catholic Church; primary constituent unit of a diocese
Q569500,,"clinic staffed by a group of general practitioners and nurses, providing healthcare services to people in a certain area"
Q681615,,social organisations of various types
Q650241,,institution that provides financial services for its clients or members
Q153936,,generally refers to an army or other fighting force that is composed of non-professional fighters
Q138796,,organized effort to withstand a government or an occupying power
Q4502119,,club or group of artists who share a common ideal
Q1358919,,"system enabling communal bicycles to be shared, often in an urban setting"
Q5051107,,"organization that registers domestic, usually purebred, cats"
Q131186,,ensemble of singers
Q2201212,,A union of teips (tribal groups) of Chechen people
Q4974301,,Dutch collective that allows independent entrepreneurs to provide each other with temporary sick leave
Q4840249,,service that circulates details of persons that may pose a threat to sex workers
Q5038204,,network of issuing banks and acquiring banks that process payment cards of a specific brand
Q1362509,,"annual comedy festival held in Montreal, Quebec Province, Canada"
Q166118,,agency or institution responsible for the preservation and communication of records selected for permanent preservation
Q4785006,,community development organisations in Kenya
Q4330364,,organization for sharing services between a variety of clients
Q4672756,,organization
Q4358176,,"group of people who come together to consult, deliberate, or make decisions"
Q4764972,,rescue organization dedicated to pet adoption
Q4801240,,visual arts organization jointly owned by its members
Q3751900,,
Q165853,,women's quarters in the traditional house of a Muslim family
Q1346215,,"current political party or coalition of the majority in parliament, that administers the affairs of state"
Q4504013,,
Q5055151,,
Q2296694,,organized component of a social movement
Q104157,,administrative division in the Philippines
Q112046,,entity which operates infrastructure for bulk transfer of electrical energy on a national or regional level
Q4830453,,"organization undertaking commercial, industrial, or professional activity"
Q1328899,,organization that develops standards
Q4163590,,organization
Q163740,,organization operated for a collective benefit
Q4986492,,organisation whose main aims include the preservation and regeneration of historic buildings
Q4651900,,organization providing services to people affected by AIDS and HIV
Q11812394,,organization that produces theatrical performances
Q438711,,US regulatory term for a non-exchange trading venue
Q210167,,software development organization specializing in the creation of video games (for person use Q58287519)
Q501519,,facility equipped for coordinating and controlling search and rescue operations
Q431603,,groups using advocacy in order to influence public opinion and policy
Q327245,,group linked in a common purpose
Q280783,,gathering of people to discuss important issues
Q16965797,,national commission of Unesco
Q197952,,collection of parent and subsidiary corporations that function as a single economic entity through a common source of control
Q16002704,,a space other than a traditional commercial venue used for the public exhibition of artwork
Q194166,,"association of two or more individuals, companies, organizations or governments (or any combination of these entities)"
Q450421,,group formed by private citizens to administer law and order where they considered governmental structures to be inadequate
Q15104323,,"method of agile, decentralized management"
Q1550557,,"economic, political and judicial institution during the Middle Age in Europe, governed by a lord owning a land domain that he partly concesses to vassals"
Q1390062,,space for digital fabrication and use of communal tools
Q1364298,,dedicated hobby organization that uses flight simulation to model the operations of an airline
Q1394627,,Sub-ethnical division (social organization) of Chechen and Ingush people
Q7885249,,organization that has not been granted formal corporate status by incorporation
Q1377994,,organization type and legal form in the European Union
Q7865442,,process for investigating troubled areas
Q1454317,,cross-functional team formed to complete a specific project
Q10341430,,"group of people which operates in the community, in a way that is distinct from both government and business"
Q7975161,,"System of parks in Wisconsin, United States"
Q10656810,,Swedish Christian revival movement
Q7699489,,Social housing-related legal entity
Q10686791,,"group of people, usually women, who gather regularly to sew together, often for charity"
Q1505454,,public-service corporation
Q10883540,,Organizations that are part of the Chinese Communist Party's United Front
Q7727036,,kind of organization developed by Kevin Kingsland in 1977
Q7864947,,self-organised communal spaces in the UK
Q1470315,,surrogate organization answering to someone else
Q1558054,,place where artists live and interact with each other
Q9078534,,rank organization that recognizes excellence among peers
Q183288,,national constituent of the worldwide Olympic movement
Q1808846,,Origin of Wine Designation
Q188913,,"artificially established forest, farm or estate, where crops are grown for sale"
Q11391922,,"university programs which teach policy analysis, policy studies, public policy, political economy, urban planning, public administration, public affairs, and public management"
Q1788992,,organization that commits crimes
Q5119518,,place where cider is made and its equipment used to crush apples into apple juice for use in making apple cider
Q11288646,,"organizations designed to collect, record and distribute to regular clients information relative to the standing of commercial firms"
Q353344,,historical administrative division
Q463080,,regional organization responsible for managing network numbering for its region
Q13473501,,egalitarian organization with common goal
Q369729,,organization with a fixed set of rules of intra-organization procedures and structures
Q16985923,,of the conditions of prisoners in English jails
Q17092674,,body which oversees electoral redistricting
Q17103146,,formal or informal group within an organisation seeking to influence its direction and activity
Q16949833,,social service organization of the Chabad-Lubavitch movement
Q16320635,,association of communities in Tyrol for the purpose of comprehensive planning and cooperation
Q16981758,,"Dutch form of company, association, society or cooperative"
Q14946195,,organization created for the practice of magic or to further the knowledge of magic
Q13757566,,American group of student organizations
Q336473,,organization with the task to help humans or animals or to protect sensitive cultural goods
Q485016,,Soviet collective farm
Q221096,,government service or private business venture which is funded and operated through a partnership of government and one or more private sector companies
Q324090,,penal work division in the Nazi concentration camps
Q484652,,organization established by treaty between governments
Q276548,,club or organization whose activities and inner functioning are concealed from non-members
Q16861792,,Wikimedia committee mainly responsible for implementing binding dispute resolution
Q379049,,magazine and website covering the American adult entertainment industry
Q16909857,,"Virtual organization temporary or permanent collection of geographically dispersed individuals, groups, organizational units, or entire organizations that depend on electronic linking in order to complete the production process"
Q494978,,"geographical region that is designed to export goods and provide employment, in different parts of the world"
Q15808872,,juridical person and corporation under European Union law
Q17071851,,group of centers funded by NIOSH
Q865132,,"organization, fleet and crew of merchant vessels operating under a national flag"
Q694166,,body of servants in service of a dignitary
Q844526,,entity that is created to leverage the purchasing power of a group of businesses to obtain discounts
Q20653619,,site occupied by citizens to resist against a construction project
Q814610,,organizations which ensure public safety and health by addressing different emergencies
Q829080,,mission-driven organization seeking to further a particular profession
